,columns,bins,False,True
0,CRIM,"[0.0, 9.0)",0.98086,0.79125
1,CRIM,"[9.0, 18.0)",0.01914,0.13468
2,CRIM,"[18.0, 27.0)",0.0,0.04377
3,CRIM,"[27.0, 36.0)",0.0,0.00337
4,CRIM,"[36.0, 44.0)",0.0,0.0101
5,CRIM,"[44.0, 53.0)",0.0,0.00673
6,CRIM,"[62.0, 71.0)",0.0,0.00337
7,CRIM,"[71.0, 80.0)",0.0,0.00337
8,CRIM,"[80.0, 89.0)",0.0,0.00337
9,ZN,"[0.0, 10.0)",0.53846,0.87542
10,ZN,"[10.0, 20.0)",0.01923,0.02694
11,ZN,"[20.0, 30.0)",0.17308,0.0404
12,ZN,"[30.0, 40.0)",0.04808,0.0202
13,ZN,"[40.0, 50.0)",0.0625,0.0
14,ZN,"[50.0, 60.0)",0.01923,0.00673
15,ZN,"[60.0, 70.0)",0.01442,0.00337
16,ZN,"[70.0, 80.0)",0.01923,0.00673
17,ZN,"[80.0, 90.0)",0.0625,0.0202
18,ZN,"[90.0, 100.0)",0.04327,0.0
19,INDUS,"[0.0, 3.0)",0.22967,0.02694
20,INDUS,"[3.0, 6.0)",0.30622,0.11785
21,INDUS,"[6.0, 9.0)",0.19617,0.18182
22,INDUS,"[9.0, 11.0)",0.07177,0.09764
23,INDUS,"[11.0, 14.0)",0.03828,0.0404
24,INDUS,"[14.0, 17.0)",0.00957,0.00337
25,INDUS,"[17.0, 20.0)",0.14354,0.44444
26,INDUS,"[20.0, 22.0)",0.00478,0.04714
27,INDUS,"[25.0, 28.0)",0.0,0.0404
28,AGE,"[3.0, 13.0)",0.06533,0.0
29,AGE,"[13.0, 22.0)",0.11558,0.02662
30,AGE,"[22.0, 32.0)",0.11055,0.02281
31,AGE,"[32.0, 42.0)",0.13065,0.07224
32,AGE,"[42.0, 51.0)",0.07538,0.05703
33,AGE,"[51.0, 61.0)",0.09548,0.07224
34,AGE,"[61.0, 71.0)",0.10553,0.07224
35,AGE,"[71.0, 81.0)",0.09045,0.09886
36,AGE,"[81.0, 90.0)",0.11055,0.1711
37,AGE,"[90.0, 100.0)",0.1005,0.40684
38,DIS,"[1.0, 2.0)",0.08654,0.3165
39,DIS,"[2.0, 3.0)",0.19712,0.29293
40,DIS,"[3.0, 4.0)",0.21635,0.10438
41,DIS,"[4.0, 6.0)",0.27404,0.15488
42,DIS,"[6.0, 7.0)",0.08173,0.07071
43,DIS,"[7.0, 8.0)",0.08654,0.0303
44,DIS,"[8.0, 9.0)",0.04327,0.0101
45,DIS,"[9.0, 10.0)",0.00962,0.0101
46,DIS,"[10.0, 11.0)",0.00481,0.0101
47,RAD,"[1.0, 3.0)",0.12042,0.11475
48,RAD,"[3.0, 6.0)",0.67016,0.7377
49,RAD,"[6.0, 8.0)",0.10995,0.12022
50,RAD,"[8.0, 10.0)",0.09948,0.02732
51,TAX,"[187.0, 239.0)",0.14833,0.07877
52,TAX,"[239.0, 292.0)",0.33014,0.10616
53,TAX,"[292.0, 344.0)",0.26316,0.18151
54,TAX,"[344.0, 397.0)",0.05263,0.07192
55,TAX,"[397.0, 449.0)",0.11962,0.16781
56,TAX,"[449.0, 501.0)",0.0,0.00342
57,TAX,"[659.0, 711.0)",0.08612,0.39041
58,B,"[0.0, 40.0)",0.0,0.06061
59,B,"[40.0, 80.0)",0.0,0.0202
60,B,"[80.0, 119.0)",0.0,0.03367
61,B,"[119.0, 159.0)",0.00478,0.00337
62,B,"[159.0, 199.0)",0.00478,0.00673
63,B,"[199.0, 238.0)",0.00478,0.00673
64,B,"[238.0, 278.0)",0.00478,0.0202
65,B,"[278.0, 318.0)",0.00478,0.03367
66,B,"[318.0, 357.0)",0.03349,0.08754
67,B,"[357.0, 397.0)",0.94258,0.72727
68,LSTAT,"[2.0, 5.0)",0.28155,0.00337
69,LSTAT,"[5.0, 9.0)",0.45631,0.09091
70,LSTAT,"[9.0, 13.0)",0.19417,0.23232
71,LSTAT,"[13.0, 16.0)",0.04369,0.20202
72,LSTAT,"[16.0, 20.0)",0.01942,0.22559
73,LSTAT,"[20.0, 23.0)",0.0,0.07744
74,LSTAT,"[23.0, 27.0)",0.0,0.08754
75,LSTAT,"[27.0, 31.0)",0.00485,0.05724
76,LSTAT,"[31.0, 34.0)",0.0,0.00337
77,LSTAT,"[34.0, 38.0)",0.0,0.0202
78,target,"[5.0, 10.0)",0.0,0.08081
79,target,"[10.0, 14.0)",0.0,0.17508
80,target,"[14.0, 18.0)",0.0,0.24242
81,target,"[18.0, 23.0)",0.07772,0.50168
82,target,"[23.0, 28.0)",0.46632,0.0
83,target,"[28.0, 32.0)",0.18135,0.0
84,target,"[32.0, 36.0)",0.12953,0.0
85,target,"[36.0, 41.0)",0.06736,0.0
86,target,"[41.0, 46.0)",0.05181,0.0
87,target,"[46.0, 50.0)",0.02591,0.0
