,column_name,format,count,unique_count,missing_count,min,p01,p05,p25,p50,p75,p95,p99,max,mean,std,mode_value,mode_counts,head1,tail1
0,CRIM,numeric,506,504,0,0.00632,0.0136105,0.027909999999999997,0.08204499999999999,0.25651,3.6770825,15.78915,41.37032999999997,88.9762,3.6135235573122535,8.601545105332487,0.01501,2,0.00632,0.04741
1,ZN,numeric,506,26,0,0.0,0.0,0.0,0.0,0.0,12.5,80.0,90.0,100.0,11.363636363636363,23.322452994515036,0.0,372,18.0,0.0
2,INDUS,numeric,506,76,0,0.46,1.2535,2.18,5.19,9.69,18.1,21.89,25.65,27.74,11.136778656126504,6.8603529408975845,18.1,132,2.31,11.93
3,CHAS,numeric,506,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0691699604743083,0.2539940413404118,0.0,471,0.0,0.0
4,NOX,numeric,506,81,0,0.385,0.398,0.40925,0.449,0.538,0.624,0.74,0.871,0.871,0.5546950592885372,0.11587767566755611,0.538,23,0.538,0.573
5,RM,numeric,506,446,0,3.561,4.52445,5.314,5.8854999999999995,6.2085,6.6235,7.5875,8.334999999999999,8.78,6.284634387351787,0.7026171434153237,6.167,3,6.575,6.03
6,AGE,numeric,506,356,0,2.9,6.609999999999999,17.725,45.025,77.5,94.07499999999999,100.0,100.0,100.0,68.57490118577078,28.148861406903638,100.0,43,65.2,80.8
7,DIS,numeric,506,412,0,1.1296,1.20654,1.461975,2.100175,3.2074499999999997,5.1884250000000005,7.8278,9.222769999999999,12.1265,3.795042687747034,2.1057101266276104,3.4952,5,4.09,2.505
8,RAD,numeric,506,9,0,1.0,1.0,2.0,4.0,5.0,24.0,24.0,24.0,24.0,9.549407114624506,8.707259384239377,24.0,132,1.0,1.0
9,TAX,numeric,506,66,0,187.0,188.0,222.0,279.0,330.0,666.0,666.0,666.0,711.0,408.2371541501976,168.53711605495926,666.0,132,296.0,273.0
10,PTRATIO,numeric,506,46,0,12.6,13.0,14.7,17.4,19.05,20.2,21.0,21.2,22.0,18.455533596837967,2.164945523714446,20.2,140,15.3,21.0
11,B,numeric,506,357,0,0.32,6.7299999999999995,84.59,375.3775,391.44,396.225,396.9,396.9,396.9,356.67403162055257,91.29486438415779,396.9,121,396.9,396.9
12,LSTAT,numeric,506,455,0,1.73,2.883,3.7075,6.949999999999999,11.36,16.955000000000002,26.8075,33.91849999999998,37.97,12.653063241106723,7.141061511348571,8.05,3,4.98,7.88
13,rand,numeric,506,5,0,1,1.0,1.0,2.0,3.0,4.0,5.0,5.0,5,3.1205533596837944,1.4417029569085973,5,118,5,4
14,sample_datetime,numeric,506,5,0,1990-01-01 00:00:00,1990-01-01 00:00:00,1990-01-01 00:00:00,2000-02-02 00:00:00,2010-03-03 00:00:00,2020-04-04 00:00:00,2030-05-05 00:00:00,2030-05-05 00:00:00,2030-05-05 00:00:00,2011-05-22 01:22:31.778656256,5310 days 12:39:25.071496640,2030-05-05 00:00:00,118,2030-05-05 00:00:00,2020-04-04 00:00:00
15,sample_str,strings,506,5,0,,,,,,,,,,,,EEEEE,118,EEEEE,DDDD
16,target,numeric,506,229,0,5.0,7.01,10.2,17.025,21.2,25.0,43.4,50.0,50.0,22.532806324110698,9.19710408737982,50.0,16,24.0,11.9
